r,rho,m,P
2e-13,0.032337845252742824,0.0,0.5525353998094122
0.0020002000202019804,0.03233783371393575,1.6259645541732977e-09,0.5525351369347958
0.00400040004020396,0.03233780486694035,9.755781522616542e-09,0.5525344797488991
0.00600060006020594,0.032337763199118144,3.089328301277128e-08,0.5525335304820945
0.00800080008020792,0.03233770710792842,7.154226309838138e-08,0.5525322526260706
0.010001000100209902,0.03233763614473883,1.3820645960866415e-07,0.5525306359607732
0.012001200120211882,0.03233755011736239,2.3738953571145039e-07,0.5525286761085967
0.014001400140213862,0.03233744892521756,3.755950614321983e-07,0.5525263707790361
0.016001600160215842,0.03233733250896051,5.593264951439578e-07,0.552523718621221
0.01800180018021782,0.03233720083064321,7.950871650417261e-07,0.5525207187718821
0.020002000200219805,0.03233705386455574,1.0893802506075655e-06,0.552517370646722
0.022002200220221785,0.03233689159250864,1.4487087640699495e-06,0.5525136738329398
0.02400240024022376,0.03233671400119662,1.8795755318593954e-06,0.55250962802917
0.026002600260225744,0.032336521080629524,2.388483176061724e-06,0.552505233009739
0.028002800280227724,0.032336312823150457,2.9819340958698244e-06,0.5525004886022952
0.030003000300229704,0.0323360892227953,3.6664304490345903e-06,0.5524953946732182
0.032003200320231684,0.032335850274860516,4.448474133315517e-06,0.5524899511177721
0.034003400340233664,0.032335595975602704,5.334566767931297e-06,0.5524841578532615
0.036003600360235644,0.03233532632202446,6.3312096750107625e-06,0.5524780148141523
0.03800380038023762,0.03233504131171851,7.444903861044402e-06,0.5524715219485208
0.0400040004002396,0.0323347409427519,8.68214999833664e-06,0.5524646792154165
0.04200420042024158,0.03233442521357858,1.0049448406459136e-05,0.5524574865828689
0.04400440044024356,0.03233409412297239,1.1553299033705164e-05,0.5524499440263622
0.046004600460245536,0.03233374766997501,1.320020143854532e-05,0.5524420515276481
0.04800480048024752,0.03233338585385493,1.4996654771084669e-05,0.5524338090738129
0.0500050005002495,0.032333008674075,1.694915775452137e-05,0.5524252166565361
0.05200520052025148,0.03233261613026609,1.9064208666607064e-05,0.5524162742714921
0.05400540054025346,0.032332208222206026,2.134830532110897e-05,0.5524069819178691
0.05600560056025544,0.032331784949802087,2.3807945049273956e-05,0.5523973395979709
0.05800580058025742,0.03233134631307685,2.6449624681294533e-05,0.5523873473168942
