r,rho,m,P
0.8124812481248144,0.003981051101945383,0.9985175381250476,0.00022962844243620546
0.8125812581258145,0.0039732264316831275,0.9985208380505705,0.00022902686663551472
0.8126812681268145,0.003965413917227104,0.9985241322996156,0.00022842661925191076
0.8127812781278146,0.003957613543730669,0.9985274208791731,0.00022782769782433805
0.8128812881288148,0.003949825296362457,0.998530703796228,0.00022723009989563712
0.8129812981298149,0.003942049160306423,0.9985339810577595,0.00022663382301254292
0.8130813081308149,0.003934285120761728,0.9985372526707414,0.000226038864725672
0.813181318131815,0.003926533162942771,0.9985405186421422,0.0002254452225895205
0.8132813281328152,0.003918793272079198,0.9985437789789248,0.0002248528941624606
0.8133813381338152,0.003911065433415886,0.9985470336880465,0.00022426187700673453
0.8134813481348153,0.003903349632212859,0.9985502827764595,0.00022367216868844435
0.8135813581358154,0.0038956458537453414,0.9985535262511103,0.0002230837667775512
0.8136813681368156,0.003887954083303743,0.9985567641189401,0.00022249666884787005
0.8137813781378156,0.003880274306193599,0.9985599963868845,0.00022191087247706075
0.8138813881388157,0.0038726065077355747,0.9985632230618738,0.00022132637524662407
0.8139813981398158,0.0038649506732654757,0.9985664441508328,0.00022074317474189792
0.814081408140816,0.003857306788134189,0.9985696596606809,0.00022016126855204897
0.814181418141816,0.0038496748377077074,0.998572869598332,0.00021958065427006977
0.8142814281428161,0.003842054807367075,0.9985760739706947,0.00021900132949277052
0.8143814381438162,0.003834446682508415,0.998579272784672,0.00021842329182077683
0.8144814481448164,0.003826850448542891,0.9985824660471616,0.00021784653885852245
0.8145814581458164,0.0038192660908966925,0.9985856537650557,0.00021727106821424388
0.8146814681468165,0.0038116935950110002,0.9985888359452412,0.00021669687749997345
0.8147814781478167,0.003804132946342034,0.9985920125945993,0.00021612396433153878
0.8148814881488168,0.0037965841303609503,0.998595183720006,0.0002155523263285504
0.8149814981498168,0.0037890471325538948,0.9985983493283319,0.0002149819611144019
0.8150815081508169,0.003781521938421964,0.9986015094264423,0.00021441286631626255
0.815181518151817,0.0037740085334811917,0.9986046640211967,0.0002138450395650717
0.8152815281528171,0.0037665069032625322,0.9986078131194496,0.00021327847849553393
0.8153815381538172,0.0037590170333118463,0.9986109567280499,0.00021271318074611315
0.8154815481548173,0.003751538909189887,0.998614094853841,0.0002121491439590276
0.8155815581558175,0.003744072516472282,0.9986172275036611,0.0002115863657802441
0.8156815681568175,0.0037366178407495444,0.9986203546843428,0.0002110248438594748
