r,rho,m,P
1e-13,0.1293513810109713,0.0,1.1050707996188245
0.0010001000101009902,0.129351334855743,8.129822770866488e-10,1.1050702738695917
0.00200020002010198,0.1293512194677614,4.877890761308271e-09,1.1050689594977983
0.00300030003010297,0.12935105279647258,1.544664150638564e-08,1.105067060964189
0.00400040004010396,0.1293508284317137,3.577113154919069e-08,1.1050645052521413
0.005000500050104951,0.1293505445789553,6.910322980433207e-08,1.1050612719215465
0.006000600060105941,0.12935020046944956,1.1869476785572519e-07,1.1050573522171934
0.007000700070106931,0.12934979570087024,1.8779753071609914e-07,1.1050527415580722
0.008000800080107921,0.12934933003584204,2.796632475719789e-07,1.105047437242442
0.00900090009010891,0.12934880332257284,3.9754358252086303e-07,1.1050414375437643
0.010001000100109902,0.12934821545822295,5.446901253037828e-07,1.105034741293444
0.011001100110110892,0.12934756637003456,7.243543820349747e-07,1.1050273476658796
0.01200120012011188,0.1293468560047865,9.397877659296977e-07,1.10501925605834
0.013001300130112872,0.1293460843225181,1.194241588030862e-06,1.105010466019478
0.014001400140113862,0.12934525129260183,1.4909670479349122e-06,1.1050009772045903
0.015001500150114852,0.1293443568911812,1.8332152245172951e-06,1.1049907893464364
0.016001600160115842,0.12934340109944206,2.2242370666577586e-06,1.1049799022355442
0.017001700170116832,0.12934238390241082,2.6672833839656483e-06,1.104968315706523
0.018001800180117822,0.12934130528809784,3.1656048375053812e-06,1.1049560296283045
0.01900190019011881,0.12934016524687403,3.722451930522201e-06,1.1049430438970416
0.0200020002001198,0.1293389637710076,4.34107499916832e-06,1.104929358430833
0.02100210021012079,0.1293377008543143,5.024724203229568e-06,1.1049149731657377
0.02200220022012178,0.12933637649188956,5.776649516852582e-06,1.1048998880527243
0.023002300230122768,0.12933499067990004,6.60010071927266e-06,1.1048841030552963
0.02400240024012376,0.12933354341541972,7.4983273855423344e-06,1.1048676181476258
0.02500250025012475,0.1293320346963,8.474578877260685e-06,1.1048504333130722
0.02600260026012574,0.12933046452106436,9.532104333303532e-06,1.1048325485429842
0.02700270027012673,0.1293288328888241,1.0674152660554486e-05,1.1048139638357382
0.02800280028012772,0.12932713979920835,1.1903972524636978e-05,1.1047946791959418
0.02900290029012871,0.1293253852523074,1.3224812340647266e-05,1.1047746946337884
0.0300030003001297,0.12932356924862462,1.463992026388852e-05,1.1047540101645095
0.03100310031013069,0.12932169178903713,1.6152544180605973e-05,1.1047326258079255
0.03200320032013168,0.12931975287476244,1.7765931698723262e-05,1.1047105415880671
0.03300330033013267,0.12931775250732971,1.9483330138579942e-05,1.1046877575328473
0.03400340034013366,0.12931569068855653,2.130798652367027e-05,1.104664273673796
0.03500350035013465,0.12931356742052738,2.324314757138327e-05,1.1046400900458164
0.03600360036013564,0.1293113827055769,2.5292059683744096e-05,1.1046152066869925
0.03700370037013663,0.129309136546274,2.7457968938156924e-05,1.104589623638409
0.03800380038013762,0.12930682894540907,2.9744121078149048e-05,1.104563340944005
0.03900390039013861,0.12930445990598222,3.215376150411667e-05,1.104536358650441
0.0400040004001396,0.12930202943119343,3.469013526407207e-05,1.1045086768069854
0.04100410041014059,0.12929953752443357,3.735648704439238e-05,1.1044802954654125
0.04200420042014159,0.1292969841892769,4.015606116057004e-05,1.104451214679917
0.04300430043014257,0.129294369429474,4.3092101547964685e-05,1.1044214345070338
0.044004400440143566,0.12929169324894588,4.6167851752557096e-05,1.10439095500557
0.04500450045014455,0.12928895565177861,4.9386554921704424e-05,1.1043597762365447
0.04600460046014554,0.1292861566422184,5.275145379489764e-05,1.1043278982631315
0.047004700470146536,0.12928329622466753,5.626579069452054e-05,1.104295321150613
0.04800480048014752,0.12928037440368026,5.99328075166106e-05,1.1042620449663343
0.049004900490148516,0.1292773911839597,6.375574572162199e-05,1.1042280697796665
0.0500050005001495,0.12927434657035453,6.773784632519019e-05,1.1041933956619685
0.051005100510150496,0.12927124056785638,7.188234988889902e-05,1.1041580226865595
0.052005200520151486,0.12926807318159708,7.619249651104919e-05,1.104121950928686
0.05300530053015247,0.12926484441684657,8.067152581742945e-05,1.1040851804654963
0.054005400540153466,0.12926155427901084,8.53226769520896e-05,1.1040477113760203
0.05500550055015445,0.12925820277362984,9.014918856811545e-05,1.1040095437411435
0.056005600560155445,0.1292547899063761,9.515429881840656e-05,1.1039706776435905
0.057005700570156435,0.1292513156830528,0.00010034124534645566,1.103931113167905
0.05800580058015742,0.12924778010959279,0.00010571326527713065,1.1038908504004372
0.059005900590158415,0.12924418319205672,0.00011127359520745903,1.1038498894293218
0.0600060006001594,0.12924052493663246,0.00011702547119741423,1.1038082303444723
0.061006100610160395,0.1292368053496333,0.00012297212876070503,1.1037658732375604
0.062006200620161385,0.12923302443749768,0.00012911680285556675,1.103722818202012
0.06300630063016238,0.12922918220678756,0.0001354627278755556,1.103679065332989
0.06400640064016336,0.12922527866418818,0.00014201313764034495,1.1036346147273866
0.06500650065016435,0.12922131381650667,0.00014877126538652473,1.1035894664838162
0.06600660066016535,0.12921728767067178,0.0001557403437584031,1.103543620702604
0.06700670067016633,0.12921320023373295,0.00016292360479881068,1.1034970774857782
0.06800680068016733,0.12920905151285972,0.00017032427993990824,1.1034498369370638
