r,rho,m,P
1e-14,0.012935138101097832,0.0,0.01105070799618906
0.001000100010010999,0.012935133485575004,8.129822769403926e-11,0.011050702738696731
0.002000200020011998,0.012935121946776847,4.877890760723379e-10,0.011050689594978801
0.003000300030012997,0.01293510527964796,1.544664150507e-09,0.011050670609642705
0.004000400040013996,0.012935082843172074,3.5771131546852453e-09,0.011050645052522231
0.0050005000500149945,0.012935054457896236,6.910322980067961e-09,0.011050612719216283
0.006000600060015994,0.012935020046945661,1.1869476785046725e-08,0.011050573522172752
0.007000700070016993,0.012934979570087733,1.877975307089446e-08,0.01105052741558154
0.008000800080017993,0.012934933003584911,2.796632475626372e-08,0.011050474372425238
0.009000900090018991,0.012934880332257991,3.975435825090435e-08,0.011050414375438463
0.01000100010001999,0.012934821545823002,5.4469012528919507e-08,0.011050347412935263
0.01100110011002099,0.012934756637004163,7.24354382017329e-08,0.011050273476659614
0.012001200120021989,0.012934685600479357,9.397877659087047e-08,0.011050192560584222
0.013001300130022988,0.012934608432252519,1.1942415880062318e-07,0.0110501046601956
0.014001400140023988,0.012934525129260894,1.4909670479063555e-07,0.011050009772046728
0.015001500150024986,0.012934435689118833,1.8332152244845237e-07,0.011049907893465188
0.016001600160025983,0.012934340109944922,2.2242370666204823e-07,0.011049799022356272
0.017001700170026984,0.012934238390241793,2.6672833839235806e-07,0.011049683157066054
0.01800180018002798,0.012934130528810496,3.165604837458233e-07,0.011049560296283869
0.01900190019002898,0.012934016524688119,3.7224519304696845e-07,0.011049430438971245
0.020002000200029978,0.012933896377101475,4.3410749991101485e-07,0.011049293584309158
0.021002100210030978,0.012933770085432148,5.024724203165454e-07,0.01104914973165821
0.02200220022003198,0.012933637649189669,5.776649516782237e-07,0.011048998880528068
0.023002300230032975,0.012933499067990715,6.600100719195801e-07,0.011048841030553787
0.024002400240033975,0.012933354341542693,7.498327385458674e-07,0.01104867618147709
0.025002500250034976,0.012933203469630719,8.474578877169938e-07,0.011048504333131556
0.026002600260035973,0.012933046452107157,9.532104333205405e-07,0.011048325485430676
0.027002700270036973,0.012932883288883128,1.06741526604487e-06,0.011048139638358212
0.028002800280037973,0.012932713979921556,1.190397252452325e-06,0.01104794679196025
0.02900290029003897,0.01293253852523146,1.3224812340525308e-06,0.011047746946338718
0.03000300030003997,0.012932356924863182,1.4639920263758048e-06,0.011047540101645928
0.031003100310040967,0.012932169178904438,1.61525441804667e-06,0.011047326258080095
0.03200320032004197,0.012931975287476962,1.7765931698574906e-06,0.011047105415881503
0.033003300330042964,0.012931775250733697,1.9483330138422216e-06,0.011046877575329316
0.03400340034004397,0.01293156906885637,2.1307986523502902e-06,0.011046642736738792
0.035003500350044965,0.012931356742053462,2.324314757120596e-06,0.011046400900459004
0.03600360036004596,0.012931138270558409,2.5292059683556576e-06,0.011046152066870759
0.037003700370046966,0.012930913654628125,2.745796893795891e-06,0.011045896236384928
0.03800380038004796,0.01293068289454163,2.974412107794025e-06,0.01104563340944089
